anio,sup_bosque,perdida_bosque,bosque,bosque_seco,bosque_inundable,zona_pantanosa_o_pastizal_inundable,pastizal_herbazal,otras_formaciones_no_boscosas,pasto,agricultura,mosaico_agropecuario,playa,infraestructura_urbana,otra_area_sin_vegetacion,mineria,otra_area_natural_sin_vegetacion,rio_lago_u_oceano,departamento
2001,14.432867626982382,9.294144611594305,14.482034976894067,10.160529988855798,10.938236647537284,10.468829770273567,11.410050746046963,11.749585258937909,11.99218611547864,-13.815510557964274,12.958695552885228,8.195885391314796,5.69035945432406,6.037870919922137,4.48863636973214,9.182763604205949,10.246332298662626,HUANUCO
2002,14.42730384412094,9.238609994067419,14.482063218453884,7.877017895622398,10.914433704451666,10.54970034590686,13.689190813070706,11.70049157833689,12.004121686435724,-13.815510557964274,12.996289820148961,7.821242083523558,8.016647877057803,6.3561076606958915,4.406719247264253,9.243097936214355,10.24987475870638,HUANUCO
2003,14.41961171486235,9.5559025977513,14.469184313441968,10.1869733328565,10.901745293274272,10.481869015752949,13.71812372340428,9.481206851499401,11.849026204023335,0.0,13.039266510531103,8.032035314398824,8.057377488557991,8.714239143608575,4.499809670330265,9.283869605264298,10.229945527689226,HUANUCO
2004,14.414619878977096,9.117165311182157,14.472913455578913,10.169958756585515,10.907844105278517,10.510613774571024,13.712707879361453,11.703405318840641,11.880515620649467,3.6109179126442243,13.044231010533979,7.686162303492906,8.07837810362652,8.82246957226897,4.6443908991413725,9.127284796838858,10.268547246009254,HUANUCO
2005,14.400008972492014,10.181336311037995,14.461758460502248,7.8674885686991285,10.90146886436542,10.445637409544144,13.721381180738106,11.768799482507152,11.932392092714206,3.6375861597263857,13.032075365377219,8.31752199628717,8.114623886420098,8.725507328484445,4.762173934797756,9.190749722211178,10.190957102406585,HUANUCO
2006,14.395148008029524,9.07106106311473,14.468260133104836,10.17229256921822,10.882546489462625,10.443570962369053,13.723856785348456,11.644322080578892,12.000590951305728,4.248495242049359,10.725137880256161,8.113426639943654,8.137980454452139,8.584290934948731,4.804021044733257,9.177093778182547,7.905072849498666,HUANUCO
2007,14.388589289549177,9.364910392439294,14.450806673091826,10.171642709679686,10.889975763399534,10.479707581066782,13.702603863606564,11.87507937194122,12.065551164778759,4.330733340286331,13.028081268953503,8.282483003730562,8.168486417126681,8.643120748014027,4.867534450455582,9.336708670790989,10.249839396151787,HUANUCO
2008,14.378886080659516,9.748442973299813,14.453761117841767,10.183049243755137,10.870186186954129,10.596009537702155,13.67922222561433,11.72711706688261,12.262774288399477,4.330733340286331,13.020011664090918,8.421562960400987,8.188133414510478,8.57035473953047,4.882801922586371,9.15957325492253,10.263292592608767,HUANUCO
2009,14.364556706400226,10.12628624439315,14.450471796958423,10.222922620168259,10.877688637695117,10.677500179150627,13.667102192778257,11.716510999068774,12.257022380908086,4.343805421853684,10.747551618412935,8.133587417660966,5.902633333401366,8.61993026886735,4.859812404361672,9.176473302464606,10.248813337717966,HUANUCO
2010,14.354163069539474,9.792802888721601,14.437513984117576,10.19121962373795,8.576593534697684,10.613196821395052,13.681374411084182,11.741056557795478,12.3012509984639,4.30406509320417,13.050274289009563,8.36822903827628,8.237743803890933,6.395261598115449,4.859812404361672,9.26785427817679,10.209279644160226,HUANUCO
2011,14.342911081986118,9.861331856531304,14.42601770237817,10.19402803583639,10.85974871645411,10.567566310598727,13.684904026616824,11.751296487615205,12.273016085031987,4.330733340286331,10.800106048612763,8.25088114470065,8.293049139768444,8.724044745953469,4.852030263919617,9.166701914946353,10.25646567163057,HUANUCO
2012,14.329092561423028,10.054264261204382,14.417195197056758,10.16284730798332,10.849065205035176,10.498718660901549,13.694574933116641,11.776358388986873,12.198539341313317,5.863631175598097,13.147373988208397,8.349484346990128,8.336390480591552,8.653819788948063,4.804021044733257,6.618738983517219,10.222559274477174,HUANUCO
2013,14.316572041282587,9.942452463744113,14.409351083440438,10.174087045006633,10.83700897967195,10.447612546703045,13.702719168288118,11.78465344500607,9.961473401734782,6.932447891572509,13.150954721517879,8.201385955238608,8.392310009269547,8.662331957082475,4.844187086458591,8.94793610670867,10.255833138313632,HUANUCO
2014,14.299710910157076,10.225409082067129,14.410633579206957,10.15681107235147,10.819538255605675,10.391300401993046,13.697002884821554,11.754984976097354,12.308755579663911,7.38770923908104,13.143465160432129,5.872117789475416,8.45765547870004,8.714074899541522,4.820281565605037,8.84130362048157,10.28547930445865,HUANUCO
2015,14.28549243072334,10.03939730212616,14.403269444702806,10.20880077869385,10.787564962045632,10.526024482928522,13.677681945501869,11.815759661991432,12.339370260830908,7.600902459542082,13.148754059653147,8.446985296372741,8.499436469826978,8.555836815008442,4.859812404361672,8.881141619321468,10.297756887883558,HUANUCO
2016,14.274053311558276,9.80906203130599,14.396322959129057,10.182860197116769,10.774948268492489,10.568903759357763,13.703533758447753,11.821240702079473,12.31746642439818,7.8383433155571165,13.151957130491397,8.169336395928386,8.56197533418813,6.335054251498059,4.859812404361672,8.993054630146133,10.262385024827958,HUANUCO
2017,14.261817756390771,9.864532564074914,14.390135429672734,10.195634641947068,10.736874822010519,10.47959517099472,13.69945640193386,11.829158550461166,12.37909694983552,7.990238185720363,13.153850416489119,8.255308811785596,8.600430789986293,8.48920515487607,4.890349128221754,8.993054630146133,10.305814408143789,HUANUCO
2018,14.251163183252679,9.714729123458508,14.399594821875075,10.209905507043057,10.73382816227228,10.479370312935423,13.685210510345108,11.705040574651761,12.447287915216947,8.08301991917133,10.840502055950259,8.472405008626103,6.336825731146441,8.456593569287309,4.990432586778736,8.85395110151461,10.309719033572193,HUANUCO
2019,14.241441720311114,9.612887226120304,14.396122658229439,10.196791293755963,10.706945476135939,10.484725040542484,13.695366863143297,11.696354741349577,12.385686372793963,8.08825472712243,13.174190829104457,8.059592328887545,8.694669696546992,8.617038526385954,5.308267697401205,8.949235314374855,10.304911171484573,HUANUCO
2020,14.229673688361988,9.79319489383274,14.368455574265624,10.225824642736724,10.675931008412125,10.420404585938435,13.702759465818222,11.802575599516707,12.39048368450169,8.183118079394745,13.228516378962237,8.352790135124629,8.74766979009724,8.493924564476883,5.332718793265369,8.806274284781725,10.311914935439406,HUANUCO
2021,14.219696868759584,9.617198509368361,14.359259415008523,10.229223792606835,10.638088527988433,10.482541755792337,13.697806394197421,11.746146071780966,12.428944159845674,8.154500175151941,13.258335538927543,8.537191877922927,8.826000545482966,8.540714386457584,5.762051382780177,9.039789270781144,10.270662181355965,HUANUCO
2022,14.209218116182244,9.65605643159057,14.346439940152504,10.251782482029256,10.607747754099643,10.46948294743559,13.718075221613564,11.761315621733887,12.355035606669421,8.503905297089302,13.28516566675191,6.045005314036012,9.087494541977337,8.940367233305174,6.440946540632921,9.101194924715385,10.263920426602184,HUANUCO
